Nombre;Referencia;Categoria;Descripcion
"ABRAZADERA 10-00 TITAN 3/8""";4;TORNILLERIA;
"ABRAZADERA 10-04 TITAN 1/2""";5;HERRAJES Y SOPORTES;102
ACEITE MULTIUSOS 30 ML TRUPER;28;LUBRICANTES;16711
ACEITE MULTIUSOS 90 ML TRUPER;29;LUBRICANTES;16712
ALCOHOL INDUSTRIAL (METANOL 80%) 375ML 1/2B;91;PINTURAS Y DISOLVENTES;
ALICATE NO 8 TIPO CRESCENT;98;HERRAMIENTA MANUAL;
AMARRE PLASTICO NEGRO 7,6 X 400mm FORTE UN;107;HERRAJES Y SOPORTES;16070
AMARRE PLASTICO N 15 NEGRO 2.5 U;120;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 25 BLANCO 3.6 U;129;HERRAJES Y SOPORTES;
"ARANDELA 1/2"" UN";1574;TORNILLERIA;
"ARANDELA 1/4"" UN";191;TORNILLERIA;
"ARANDELA 3/16"" UN";193;TORNILLERIA;
"ARANDELA 3/8"" UN";194;TORNILLERIA;
"ARANDELA 7/16"" UN";197;TORNILLERIA;
BALDE DE CONSTRUCCION NEGRO;212;CONSTRUCCION;
"BISAGRA COMUN LATON 3""  INDUMA UNIDAD";239;HERRAJES Y SOPORTES;
"BISTURI 6"" BLISTER PRETUL";257;HERRAMIENTA MANUAL;22405
BOLSA NEGRA INDUSTRIAL N 39;3262;HOGAR Y COCINA;
BOMBILLO DICROICO 110 GU10;282;ELECTRICOS;1961
BOMBILLO RECARGABLE PORTATIL 15W ASTRO;3430;ELECTRICOS;
BOQUILLA BLANCA 2K MAXI;284;CONSTRUCCION;
BROCA ACERO HSS 17/64 INCOLMA;307;ABRASIVOS Y CONSUMIBLES;750281
BROCA ACERO HSS 9/64 INCOLMA;320;ABRASIVOS Y CONSUMIBLES;750125
BROCA HSS 1/4 MP TOOLS;327;ABRASIVOS Y CONSUMIBLES;1716
BROCA HSS 3/16 MP TOOLS;330;ABRASIVOS Y CONSUMIBLES;1901
"BROCA HSS ACERO RAPIDO 3/16"" TRUPER";342;PINTURAS Y DISOLVENTES;11126
"BROCHA POPULAR BLANCA 1 1/2"" GOYA";363;PINTURAS Y DISOLVENTES;1307
"BROCHA POPULAR BLANCA 2"" GOYA";367;PINTURAS Y DISOLVENTES;1308
