Referencia;Nombre;Categoria;Descripcion
4;"ABRAZADERA 10-00 TITAN 3/8""";TORNILLERIA;
5;"ABRAZADERA 10-04 TITAN 1/2""";HERRAJES Y SOPORTES;102
28;ACEITE MULTIUSOS 30 ML TRUPER;LUBRICANTES;16711
29;ACEITE MULTIUSOS 90 ML TRUPER;LUBRICANTES;16712
91;ALCOHOL INDUSTRIAL (METANOL 80%) 375ML 1/2B;PINTURAS Y DISOLVENTES;
98;ALICATE NO 8 TIPO CRESCENT;HERRAMIENTA MANUAL;
107;AMARRE PLASTICO NEGRO 7,6 X 400mm FORTE UN;HERRAJES Y SOPORTES;16070
120;AMARRE PLASTICO N 15 NEGRO 2.5 U;HERRAJES Y SOPORTES;
129;AMARRE PLASTICO N 25 BLANCO 3.6 U;HERRAJES Y SOPORTES;
1574;"ARANDELA 1/2"" UN";TORNILLERIA;
191;"ARANDELA 1/4"" UN";TORNILLERIA;
193;"ARANDELA 3/16"" UN";TORNILLERIA;
194;"ARANDELA 3/8"" UN";TORNILLERIA;
197;"ARANDELA 7/16"" UN";TORNILLERIA;
212;BALDE DE CONSTRUCCION NEGRO;CONSTRUCCION;
239;"BISAGRA COMUN LATON 3""  INDUMA UNIDAD";HERRAJES Y SOPORTES;
257;"BISTURI 6"" BLISTER PRETUL";HERRAMIENTA MANUAL;22405
3262;BOLSA NEGRA INDUSTRIAL N 39;HOGAR Y COCINA;
282;BOMBILLO DICROICO 110 GU10;ELECTRICOS;1961
3430;BOMBILLO RECARGABLE PORTATIL 15W ASTRO;ELECTRICOS;
284;BOQUILLA BLANCA 2K MAXI;CONSTRUCCION;
307;BROCA ACERO HSS 17/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;750281
320;BROCA ACERO HSS 9/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;750125
327;BROCA HSS 1/4 MP TOOLS;ABRASIVOS Y CONSUMIBLES;1716
330;BROCA HSS 3/16 MP TOOLS;ABRASIVOS Y CONSUMIBLES;1901
342;"BROCA HSS ACERO RAPIDO 3/16"" TRUPER";PINTURAS Y DISOLVENTES;11126
363;"BROCHA POPULAR BLANCA 1 1/2"" GOYA";PINTURAS Y DISOLVENTES;1307
367;"BROCHA POPULAR BLANCA 2"" GOYA";PINTURAS Y DISOLVENTES;1308
368;"BROCHA POPULAR BLANCA 3"" GOYA";PINTURAS Y DISOLVENTES;1310
2417;"CALIBRADOR PIE DE REY PULGADAS Y METRICO 5"" PRETUL";HERRAMIENTA MANUAL;21454
466;"CANCAMO ABIERTO 1/2"" RANGER";TORNILLERIA;
509;CANDADO DE HIERRO 25 MM HERMEX;CERRAJERIA Y SEGURIDAD;22528
589;CERRADURA ALCOBA CLARA / OBSCURA CAJA SECURITY;CERRAJERIA Y SEGURIDAD;
607;"CHAZO EXPANSIVO 3/8X 17/8""";TORNILLERIA;
621;CHAZO PLASTICO 1/4 UN;TORNILLERIA;
646;"CHAZO SUPRA MARIPOSA PLASTICO 1/4"" UN";TORNILLERIA;
661;CHUPA CON GANCHO N 6;HERRAJES Y SOPORTES;
672;CINTA  ANTIDESLIZANTE 50 MM 50 MT TESA;PEGANTES;5383
675;CINTA AMARILLA LA ORIGINAL 18 MM X 50MT 3M;PEGANTES;39025
676;CINTA AMARILLA LA ORIGINAL 6 MM X 50MT 3M;PEGANTES;
677;CINTA AUTOFUNDENTE 1MT;PEGANTES;
691;CINTA DOBLE FAZ 1/2 2MT 3M;PEGANTES;33689
692;CINTA DOBLE FAZ 3/4 2MT 3M;PEGANTES;33696
695;CINTA EMPAQUE TRANSPARENTE 150 MT TRUPER;PEGANTES;12557
3123;CINTA ENMASCARAR 201+12MM X 55 MT 3M;PEGANTES;55502
702;CINTA ENMASCARAR 201+24MM X 50 MT 3M;PEGANTES;19473
3231;CINTA ENMASCARAR 201+ 38MM X 50 MT 3M;PEGANTES;
724;CINTA TEFLON PEQUEÃ¯Â¿Â½O;PEGANTES;13052
728;CINTA AISLANTE TEMFLEX NEGRO 19 MM X 9MT 3M;PEGANTES;14873
729;CINTA AISLANTE TEMFLEX NEGRO 19 MM X 18MT 3M;PEGANTES;25680
736;CLAVIJA DOMESTICAV 10A CODELCA;ELECTRICOS;
737;CLAVIJA INDUSTRIAL 15A KONTIKI;ELECTRICOS;FC2
762D;CLAVO ACERADO 3/4 LISO CA MEJIA DOC;TORNILLERIA;
792;"CODO SANITARIO CXC 11/2""";TUBERIAS Y ACCESORIOS;1107
3443;CUCHILLO N6 MADERA EXCALIBUR;HOGAR Y COCINA;
864;"CURVA CONDUIT SEMIPESADA 1/2""";TUBERIAS Y ACCESORIOS;3060
904;DISCO CORTE METAL 4 1/2 X 1/16 X 7/8  ABRACOL;ABRASIVOS Y CONSUMIBLES;41613
916;"DISCO CORTE METAL 41/2"" X 0.045 X 7/8"" DEWALT";ABRASIVOS Y CONSUMIBLES;43346
917;"DISCO CORTE METAL 7"" X 1/16"" X 7/8"" DEWALT";ABRASIVOS Y CONSUMIBLES;43347
921;"DISCO CORTE METAL 14"" X 7/64"" X 7/8"" PARA TRONZADORA PRETUL";ABRASIVOS Y CONSUMIBLES;22561
924;"DISCO CORTE METAL 7"" X 1/16"" X 7/8"" PREMIER";ABRASIVOS Y CONSUMIBLES;
929;"DISCO DESBASTE METAL 41/2"" X 1/4"" X 7/8"" TRUPER";ABRASIVOS Y CONSUMIBLES;12565
934;"DISCO FLAP 120 4 1/2"" AZUL PORRAS";ABRASIVOS Y CONSUMIBLES;
935;"DISCO FLAP 120 7"" AZUL PORRAS";ABRASIVOS Y CONSUMIBLES;
937;"DISCO FLAP 60 4 1/2"" AZUL PORRAS";ABRASIVOS Y CONSUMIBLES;
969;DUPLICADO DE LLAVE ESTANDAR;CERRAJERIA Y SEGURIDAD;
3326;ESCOBILLAS PEQUEÃ¯Â¿Â½AS;PARTES Y REPUESTOS;
1051;ESMALTE EXPERTO BLANCO 1/4 G SUPER;PINTURAS Y DISOLVENTES;301
909;EXTENSION CON POLO NARANJA 8MT;ELECTRICOS;45400
1144;EXTENSION 3 MTS 9ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;
1145;EXTENSION 5 MTS 15ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;
1187;"FLEXOMETRO AMARILLO 8MT CINTA 1"" PRETUL";HERRAMIENTA MANUAL;21603
1214;GANCHO ADHESIVO JUMBO BLANCO;HERRAJES Y SOPORTES;
1216;GANCHO ADHESIVO MEDIANO BLANCO;HERRAJES Y SOPORTES;
1228;GRAFITO FUELLE;LUBRICANTES;
1262;"GRATA COPA ALAMBRE ONDULADO 4""X 5/8 TRUPER";HERRAMIENTA MANUAL;"""Marca Truper, Modelo 14182  """"Grata De Copa 3"""""""", Alambre Ondulado Fino, Calibre 0.30 Mm, Eje 5/8-11 Marca: Truper Código: 14182 CARACTERÍSTICAS ¤ Alambre de acero al carbono para cepillado ligero, acabado fino. ¤ Diámetro: 3"""""""" (75 mm). ¤ Eje: 5/8-11. ¤ Espesor: 15/32"""""""" (12 mm). ¤ Calibre: 0.012"""""""" (0.30 mm). ¤ Largo del alambre: 23 mm. ¤ Máxima velocidad: 12.500 rpm. PRINCIPALES USOS ¤ Limpieza de metales, eliminación de óxido, rebabas, preparación de superficies para soldar, remueve decoloración por exposición a altas temperaturas. ¤ Para superficies irregulares grandes. ¤ Para usarse con esmeriladoras 4.1/2"""""""". FACTURA ELECTRÓNICA Todos nuestros productos ofertados son con IVA incluido, por lo que podrás solicitar tu factura electrónica después de que realices la compra."""""""
1273;GUANTE LATEX NEGRO HGN  002 T L;DOTACION INDUSTRIAL;
1282;GUANTE NITRILO TALLA 8;DOTACION INDUSTRIAL;
1290;GUANTE CAUCHO TRITON CAL35 T 9;DOTACION INDUSTRIAL;4616
3149;GUASA 1/2 UN;TORNILLERIA;
3150;GUASA 1/4 UN;TORNILLERIA;
3152;GUASA 3/8 UN;TORNILLERIA;
1294;HERRAJE 2 PIEZAS;GRIFERIA;
1338;INTERRUPTOR SENCILLO BLANCO MERCURY;ELECTRICOS;
1461;"LLANA LISA MANGO PLASTICO 1 1X 5"" TRUPER";HERRAMIENTA MANUAL;15412
1502;LLAVE MIXTA 13 MMX145MM PRETUL;HERRAMIENTA MANUAL;21907
1536;"MACHETE TRES CANALES 20"" CORNETA";HERRAMIENTA MANUAL;5449
1583;MANGUERA LAVADORA ENTADA TER PLASTICA 2.40MT;GRIFERIA;
1617;MARTILLO CAB CONICA MADERA 25 MM;HERRAMIENTA MANUAL;10558
1621;MASILLA AUTOMOTRIZ POLIESTER P1500 1/4 G P;PINTURAS Y DISOLVENTES;10381821 40%
1630;MASILLA PEQUEÃ¯Â¿Â½A RALLY ORIGINAL;PEGANTES;
1681;"NIPLE GALVANIZADO KAUDAL 1/2 X3""";TUBERIAS Y ACCESORIOS;29209
3303;"NIPLE GALVANIZADO KAUDAL 3/4X1""";GRIFERIA;
1708;ORRING 006;PARTES Y REPUESTOS;
1709;ORRING 007;PARTES Y REPUESTOS;
1710;ORRING 008;PARTES Y REPUESTOS;
1711;ORRING 009;PARTES Y REPUESTOS;
3267;PASADOR ALEMAN  21/2;CERRAJERIA Y SEGURIDAD;558
3269;PASADOR ALEMAN 3;CERRAJERIA Y SEGURIDAD;
1765;PEGACOR GRIS MEGAPEGA X25K CORONA;CONSTRUCCION;99947
1773;PEGANTE BOXER UNIVERSAL BOTELLA GYD;PEGANTES;
1790;PIEDRA MOTORTOOL GRANDE UN;PARTES Y REPUESTOS;
1791;PIEDRA MOTORTOOL PEQUEÃ¯Â¿Â½A UN;PARTES Y REPUESTOS;
3313;PIEDRA REPUESTO ENCENDEDOR CHISPERO PAQ X 5;HERRAMIENTA MANUAL;19272
1794;PILA 9V GP;ELECTRICOS;
1823;PINTURA EN SPRAY NEGRO BRILLANTE 400ML PINTE;PINTURAS Y DISOLVENTES;8842
1847;PISTOLA CALEFATEO ESQUELETO REF TRUPER;HERRAMIENTA MANUAL;Marca MG DEMAX, Modelo 83817  Pistola calafateo tipo esqueleto 9 PulgadasReferencia: 83817  - Diseñada para obtener mayor precisión al momento de utilizar selladores - 9 Pulgadas- Tipo esqueletoGarantía del vendedor: 2 meses.
1928;PULSADOR TIMBRE SENCILLO S/PONER DUOMO AVE;ELECTRICOS;14013
1929;PUNTA PHILIPS N2 STANLEY;HERRAMIENTA MANUAL;
2598;"PUNTILLA CON CABEZA  1"" UN";TORNILLERIA;734
3196CA;PUNTILLA CON CABEZA 2 X 400 GM;TORNILLERIA;1016
3609;RAFIA MILENIO 3 MM (1000) 1M;SOGAS Y CADENAS;
2005;"REMACHADORA PROFESIONAL 10"" TRUPER";HERRAMIENTA MANUAL;17960
2069CA;REMACHE POP 6-6 3/16 X 1/2 CAJA;TORNILLERIA;
2102;"RODILLO HILO BRICOLAGE 9"" GOYA";PINTURAS Y DISOLVENTES;3663
2106;"RODILLO JUNIOR POLIESTER TH 2"" GOYA";PINTURAS Y DISOLVENTES;1198
2107;"RODILLO JUNIOR POLIESTER TH 3"" GOYA";PINTURAS Y DISOLVENTES;1199
2108;"RODILLO JUNIOR POLIESTER TH 4"" GOYA";PINTURAS Y DISOLVENTES;1200
2109;"RODILLO JUNIOR POLIESTER TH 5"" GOYA";PINTURAS Y DISOLVENTES;1201
3674;SILICONA SUPERFLEX ROJA 50ML LOCTITE;PEGANTES;
2217;SILICONA EN TUBO TRANSPARENTE UNIFER;PEGANTES;
2229;SOLDADURA 6013 1/8 1/2 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;10240650
2248;"SOLDADURA ELECTRICA 6013 1/8"" 1K TRUPER";ABRASIVOS Y CONSUMIBLES;14361
2251;"SOLDADURA ELECTRICA 6013 3/32"" 1K 50V TRUPER";ABRASIVOS Y CONSUMIBLES;14360
2272;SOLDADURA PVC 1/128 ENAR;PEGANTES;1575
2299;SOQUET T8 UN;ELECTRICOS;
2301;SOSCO EXTENSION LAVAMANOS;GRIFERIA;1566
2315;SUPER BONDER 3 GRAMOS LOCTITE;PEGANTES;13846
3661;SUPER PEGA INTANTANEO 20G;PEGANTES;
2380;TAPON OIDO REUTILIZABLE TRIPLE BARRERA TRUPER;DOTACION INDUSTRIAL;14225
2446;TESTER CON CAIMAN TIPO ESFERO TRUPER;ELECTRICOS;13987Ideal para mediciÃ¯Â¿Â½n de corriente directa en baterÃ¯Â¿Â½as y circuitos de 12 V.Punta de acero.Mango de plÃ¯Â¿Â½stico transparente aislado para mayor seguridad con indicador de luz.Clip tipo pluma para portar en el bolsillo.Cable con caimÃ¯Â¿Â½n para tierra.
2450;THINNER EXTRAFINO 1 BOTELLA 750CC;PINTURAS Y DISOLVENTES;
3171;TIJERA PARA HOJALATERO PRETUL;HERRAMIENTA MANUAL;26052
2470;TINTE WENGUE 200 CC SUPER;PINTURAS Y DISOLVENTES;80
3565;TOALLITAS  COLORES BORDADA;ASEO;
2473;TOMA AEREA INDUSTRIAL 15 AMP  KONTIKI;ELECTRICOS;FT2
2476;TOMA DOBLE BLANCA MERCURY;ELECTRICOS;
2478;TOMA DOBLE P/T BLANCA DUOMO AVE;ELECTRICOS;35219
2483;TOMA SOBREPONER MULTIPLE 2-6 LITEWAY;ELECTRICOS;33278
2538;"TORNILLO CR RO ZINC 3/16X1/2""UN";TORNILLERIA;
2545;"TORNILLO CR RO ZINC 5/32X1""UN";TORNILLERIA;
2550;"TORNILLO CR RO ZINC 5/32X21/2""UN";TORNILLERIA;
2585;"TORNILLO DRYWALL 6X2"" UN";TORNILLERIA;
2588;"TORNILLO DRYWALL 6X21/2"" UN";TORNILLERIA;
2636;"TORNILLO HEX RO ZINC 1/2X2""UN";TORNILLERIA;
2639;"TORNILLO HEX RO ZINC 1/4X1""UN";TORNILLERIA;
