Tipo;"Item inventariable";"Item con variantes";"Venta en negativo";Nombre;"Codigo del producto o servicio";Referencia;"Unidad de medida";Categoria;Descripcion;"Costo inicial";"Precio base";Impuesto;"Precio total";"Precio: General";"Precio: Lista General 2023";"Codigo cuenta contable";"Cuenta contable";"Codigo cuenta de inventario";"Cuenta de inventario";"Codigo cuenta de costo de venta";"Cuenta de costo de venta";"Codigo de barras2";"codigo de barras 3";"Codigo de barras"
Producto;Si;No;Si;"ABRAZADERA 10-00 TITAN 3/8""";;4;Unidad;TORNILLERIA;;720,000000;1008,000000;19.00;1200;1008,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;8888021301427
Producto;Si;No;Si;"ABRAZADERA 10-04 TITAN 1/2""";;5;Unidad;"HERRAJES Y SOPORTES";102;552,000000;840,000000;19.00;1000;840,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;8888020000000
Producto;Si;No;Si;"ACEITE MULTIUSOS 30 ML TRUPER";;28;Unidad;LUBRICANTES;16711;1851,000000;3361,000000;19.00;4000;3361,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206689868
Producto;Si;No;Si;"ACEITE MULTIUSOS 90 ML TRUPER";;29;Unidad;LUBRICANTES;16712;2824,000000;5042,000000;19.00;6000;5042,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206689875
Producto;Si;No;Si;"ALCOHOL INDUSTRIAL (METANOL 80%) 375ML 1/2B";;91;Unidad;"PINTURAS Y DISOLVENTES";;2975,000000;4622,000000;19.00;5500;4622,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304050
Producto;Si;No;Si;"ALICATE NO 8 TIPO CRESCENT";;98;Unidad;"HERRAMIENTA MANUAL";;7250,000000;12185,000000;19.00;14500;12185,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304051
Producto;Si;No;Si;"AMARRE PLASTICO NEGRO 7,6 X 400mm FORTE UN";;107;Unidad;"HERRAJES Y SOPORTES";16070;3,000000;504,000000;19.00;600;504,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304061
Producto;No;No;No;"AMARRE PLASTICO N 15 NEGRO 2.5 U";;120;Unidad;"HERRAJES Y SOPORTES";;0,000000;42,000000;19.00;50;42,000000;;413505;Ventas;;;;;;;9101020304071
Producto;No;No;Si;"AMARRE PLASTICO N 25 BLANCO 3.6 U";;129;Unidad;"HERRAJES Y SOPORTES";;0,000000;126,000000;19.00;150;126,000000;;413505;Ventas;;;;;;;9101020304081
Producto;Si;No;Si;"ARANDELA 1/2"" UN";;1574;Unidad;TORNILLERIA;;150,000000;210,000000;19.00;250;210,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304091
Producto;Si;No;Si;"ARANDELA 1/4"" UN";;191;Unidad;TORNILLERIA;;50,000000;84,000000;19.00;100;84,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304101
Producto;Si;No;Si;"ARANDELA 3/16"" UN";;193;Unidad;TORNILLERIA;;60,000000;84,000000;19.00;100;84,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304111
Producto;Si;No;Si;"ARANDELA 3/8"" UN";;194;Unidad;TORNILLERIA;;90,000000;168,000000;19.00;200;168,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304121
Producto;Si;No;Si;"ARANDELA 7/16"" UN";;197;Unidad;TORNILLERIA;;150,000000;210,000000;19.00;250;210,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304131
Producto;Si;No;Si;"BALDE DE CONSTRUCCION NEGRO";;212;Unidad;CONSTRUCCION;;3400,000000;4874,000000;19.00;5800;4874,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304141
Producto;Si;No;Si;"BISAGRA COMUN LATON 3""  INDUMA UNIDAD";;239;Unidad;"HERRAJES Y SOPORTES";;1283,000000;2101,000000;19.00;2500;2101,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304151
Producto;Si;No;Si;"BISTURI 6"" BLISTER PRETUL";;257;Unidad;"HERRAMIENTA MANUAL";22405;2000,000000;3361,000000;19.00;4000;3361,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206641194
Producto;Si;No;Si;"BOLSA NEGRA INDUSTRIAL N 39";;3262;Unidad;"HOGAR Y COCINA";;1300,000000;1849,000000;19.00;2200;1849,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304161
Producto;No;No;Si;"BOMBILLO DICROICO 110 GU10";;282;Unidad;ELECTRICOS;1961;0,000000;4202,000000;19.00;5000;4202,000000;;413505;Ventas;;;;;;;4008320000000
Producto;No;No;Si;"BOMBILLO RECARGABLE PORTATIL 15W ASTRO";;3430;Unidad;ELECTRICOS;;0,000000;18992,000000;19.00;22600;18992,000000;;413505;Ventas;;;;;;;7709250000000
Producto;Si;No;Si;"BOQUILLA BLANCA 2K MAXI";;284;Unidad;CONSTRUCCION;;4000,000000;5462,000000;19.00;6500;5462,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304171
Producto;Si;No;Si;"BROCA ACERO HSS 17/64 INCOLMA";;307;Unidad;"ABRASIVOS Y CONSUMIBLES";750281;5721,000000;8824,000000;19.00;10501;8824,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304181
Producto;Si;No;Si;"BROCA ACERO HSS 9/64 INCOLMA";;320;Unidad;"ABRASIVOS Y CONSUMIBLES";750125;2153,000000;3782,000000;19.00;4501;3782,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304191
Producto;Si;No;Si;"BROCA HSS 1/4 MP TOOLS";;327;Unidad;"ABRASIVOS Y CONSUMIBLES";1716;2500,000000;3782,000000;19.00;4501;3782,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304201
Producto;Si;No;Si;"BROCA HSS 3/16 MP TOOLS";;330;Unidad;"ABRASIVOS Y CONSUMIBLES";1901;1340,000000;2101,000000;19.00;2500;2101,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304211
Producto;Si;No;Si;"BROCA HSS ACERO RAPIDO 3/16"" TRUPER";;342;Unidad;"PINTURAS Y DISOLVENTES";11126;2656,000000;4202,000000;19.00;5000;4202,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206645994
Producto;Si;No;Si;"BROCHA POPULAR BLANCA 1 1/2"" GOYA";;363;Unidad;"PINTURAS Y DISOLVENTES";1307;2500,000000;3361,000000;19.00;4000;3361,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7707062900707
Producto;Si;No;Si;"BROCHA POPULAR BLANCA 2"" GOYA";;367;Unidad;"PINTURAS Y DISOLVENTES";1308;2539,000000;4202,000000;19.00;5000;4202,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7707062900714
Producto;Si;No;Si;"BROCHA POPULAR BLANCA 3"" GOYA";;368;Unidad;"PINTURAS Y DISOLVENTES";1310;4698,000000;6723,000000;19.00;8000;6723,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7707062900738
Producto;Si;No;Si;"CALIBRADOR PIE DE REY PULGADAS Y METRICO 5"" PRETUL";;2417;Unidad;"HERRAMIENTA MANUAL";21454;9350,000000;13866,000000;19.00;16501;13866,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206641699
Producto;No;No;Si;"CANCAMO ABIERTO 1/2"" RANGER";;466;Unidad;TORNILLERIA;;0,000000;252,000000;19.00;300;252,000000;;413505;Ventas;;;;;;;9101020304231
Producto;Si;No;Si;"CANDADO DE HIERRO 25 MM HERMEX";;509;Unidad;"CERRAJERIA Y SEGURIDAD";22528;3000,000000;4622,000000;19.00;5500;4622,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304241
Producto;Si;No;Si;"CERRADURA ALCOBA CLARA / OBSCURA CAJA SECURITY";;589;Unidad;"CERRAJERIA Y SEGURIDAD";;14600,000000;21849,000000;19.00;26000;21849,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7707692865674
Producto;Si;No;Si;"CHAZO EXPANSIVO 3/8X 17/8""";;607;Unidad;TORNILLERIA;;720,000000;1176,000000;19.00;1399;1176,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304251
Producto;Si;No;Si;"CHAZO PLASTICO 1/4 UN";;621;Unidad;TORNILLERIA;;23,000000;42,000000;19.00;50;42,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304261
Producto;Si;No;Si;"CHAZO SUPRA MARIPOSA PLASTICO 1/4"" UN";;646;Unidad;TORNILLERIA;;95,000000;168,000000;19.00;200;168,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020304271
Producto;No;No;Si;"CHUPA CON GANCHO N 6";;661;Unidad;"HERRAJES Y SOPORTES";;0,000000;1261,000000;19.00;1501;1261,000000;;413505;Ventas;;;;;;;
Producto;No;No;Si;"CINTA  ANTIDESLIZANTE 50 MM 50 MT TESA";;672;Unidad;PEGANTES;5383;0,000000;43698,000000;19.00;52001;43698,000000;;413505;Ventas;;;;;;;7707314795709
