Nombre;Referencia;Categoría;Descripción;Marca
ACEITE MULTIUSOS 30 ML TRUPER;28;LUBRICANTES;16711;TRUPER 16711
ACEITE MULTIUSOS 90 ML TRUPER;29;LUBRICANTES;16712;TRUPER 16712
"BROCA HSS ACERO RAPIDO 3/16"" TRUPER";342;PINTURAS Y DISOLVENTES;11126;TRUPER 11126
CINTA EMPAQUE TRANSPARENTE 150 MT TRUPER;695;PEGANTES;12557;TRUPER 12557
"DISCO DESBASTE METAL 41/2"" X 1/4"" X 7/8"" TRUPER";929;ABRASIVOS Y CONSUMIBLES;12565;TRUPER 12565
"GRATA COPA ALAMBRE ONDULADO 4""X 5/8 TRUPER";1262;HERRAMIENTA MANUAL;11529;TRUPER 11529
"LLANA LISA MANGO PLASTICO 1 1X 5"" TRUPER";1461;HERRAMIENTA MANUAL;15412;TRUPER 15412
PISTOLA CALEFATEO ESQUELETO REF TRUPER;1847;HERRAMIENTA MANUAL;17558;TRUPER 17558
"REMACHADORA PROFESIONAL 10"" TRUPER";2005;HERRAMIENTA MANUAL;17960;TRUPER 17960
"SOLDADURA ELECTRICA 6013 1/8"" 1K TRUPER";2248;ABRASIVOS Y CONSUMIBLES;14361;TRUPER 14361
"SOLDADURA ELECTRICA 6013 3/32"" 1K 50V TRUPER";2251;ABRASIVOS Y CONSUMIBLES;14360;TRUPER 14360
TAPON OIDO REUTILIZABLE TRIPLE BARRERA TRUPER;2380;DOTACION INDUSTRIAL;14225;TRUPER 14225
TESTER CON CAIMAN TIPO ESFERO TRUPER;2446;ELECTRICOS;13987Ideal para mediciï¿½n de corriente directa en baterï¿½as y circuitos de 12 V.Punta de acero.Mango de plï¿½stico transparente aislado para mayor seguridad con indicador de luz.Clip tipo pluma para portar en el bolsillo.Cable con caimï¿½n para tierra.;TRUPER 13987 12
ACOPLE RACOR RAPIDO GRIFO-MANGUERA TRUPER;47;GRIFERIA;12724;TRUPER 12724
"ACOPLE YEE DE ALUMINIO ENTRADA 3/4"" TRUPER";52;GRIFERIA;10372;TRUPER 10372
"ALICATE SACABOCADO 9"" TRUPER";103;HERRAMIENTA MANUAL;17340;TRUPER 17340
BARRA AGRICOLA 1-1/8 1200mm x 102mm TRUPER;3549;HERRAMIENTA MANUAL;19985;TRUPER 19985
"BISTURI 6"" CON GRIP TRUPER";258;HERRAMIENTA MANUAL;16977;TRUPER 16977
BORNES DE PLOMO PARA BATERIA 2 PIEZAS TRUPER;3551;HERRAMIENTA ELECTRICA;23041;TRUPER 23041
"BROCA CONCRETO 1/2 X 12"" TRUPER";3272;ABRASIVOS Y CONSUMIBLES;11233;TRUPER 11233
"BROCA CONCRETO 1/4 X 12"" TRUPER";3270;ABRASIVOS Y CONSUMIBLES;11209;TRUPER 11209
"BROCA CONCRETO 1/4 X 4"" TRUPER";350;ABRASIVOS Y CONSUMIBLES;11203;TRUPER 11203
"BROCA CONCRETO 3/16 X 4"" TRUPER";351;ABRASIVOS Y CONSUMIBLES;11200;TRUPER 11200
"BROCA CONCRETO 3/8 x 5"" TRUPER";352;ABRASIVOS Y CONSUMIBLES;11221;TRUPER 11221
"BROCA CONCRETO 5/16 X 12"" TRUPER";3271;ABRASIVOS Y CONSUMIBLES;11218;TRUPER 11218
"BROCA CONCRETO 5/16 X 4"" TRUPER";353;ABRASIVOS Y CONSUMIBLES;11212;TRUPER 11212
"BROCA CONCRETO SDS RANURADA 1/2 X 6"" TRUPER";3276;ABRASIVOS Y CONSUMIBLES;11279;TRUPER 11279
"BROCA CONCRETO SDS RANURADA 1/4 X 6"" TRUPER";3273;ABRASIVOS Y CONSUMIBLES;11264;TRUPER 11264
"BROCA CONCRETO SDS RANURADA 3/8 X 6"" TRUPER";3275;ABRASIVOS Y CONSUMIBLES;11272;TRUPER 11272
"BROCA CONCRETO SDS RANURADA 3/8"" X 12"" TRUPER";3332;TUBERIAS Y ACCESORIOS;11275;TRUPER 11275
"BROCA CONCRETO SDS RANURADA 5/16 X 6"" TRUPER";3274;ABRASIVOS Y CONSUMIBLES;11269;TRUPER 11269
"BROCA ESPADA PARA MADERA 1"" TRUPER";321;ABRASIVOS Y CONSUMIBLES;11384;TRUPER 11384
"BROCA ESPADA PARA MADERA 1/2"" TRUPER";322;ABRASIVOS Y CONSUMIBLES;11372;TRUPER 11372
"BROCA ESPADA PARA MADERA 3/4"" TRUPER";323;ABRASIVOS Y CONSUMIBLES;11378;TRUPER 11378
"BROCA ESPADA PARA MADERA 3/8"" TRUPER";324;ABRASIVOS Y CONSUMIBLES;11366;TRUPER 11366
"BROCA HSS ACERO RAPIDO 1/4"" TRUPER";339;ABRASIVOS Y CONSUMIBLES;11134;TRUPER 11134
"BROCA HSS ACERO RAPIDO 1/8"" TRUPER";340;ABRASIVOS Y CONSUMIBLES;11118;TRUPER 11118
"BROCA HSS ACERO RAPIDO 5/8"" TRUPER";343;ABRASIVOS Y CONSUMIBLES;11170;TRUPER 11170
"BROCA HSS ACERO RAPIDO 9/16"" TRUPER";344;ABRASIVOS Y CONSUMIBLES;11168;TRUPER 11168
"BROCHA MANGO PLASTICO 1"" TRUPER";358;PINTURAS Y DISOLVENTES;14481;TRUPER 14481
"BROCHA MANGO PLASTICO 1/2"" TRUPER";359;PINTURAS Y DISOLVENTES;14480;TRUPER 14480
