Referencia;Nombre;Categoría;Definicion;Caracteristicas
4;"ABRAZADERA 10-00 TITAN 3/8""";TORNILLERIA;;
5;"ABRAZADERA 10-04 TITAN 1/2""";HERRAJES Y SOPORTES;;
28;ACEITE MULTIUSOS 30 ML TRUPER;LUBRICANTES;;
29;ACEITE MULTIUSOS 90 ML TRUPER;LUBRICANTES;;
91;ALCOHOL INDUSTRIAL (METANOL 80%) 375ML 1/2B;PINTURAS Y DISOLVENTES;;
98;ALICATE NO 8 TIPO CRESCENT;HERRAMIENTA MANUAL;;
107;AMARRE PLASTICO NEGRO 7,6 X 400mm FORTE UN;HERRAJES Y SOPORTES;;
120;AMARRE PLASTICO N 15 NEGRO 2.5 U;HERRAJES Y SOPORTES;;
129;AMARRE PLASTICO N 25 BLANCO 3.6 U;HERRAJES Y SOPORTES;;
1574;"ARANDELA 1/2"" UN";TORNILLERIA;;
191;"ARANDELA 1/4"" UN";TORNILLERIA;;
193;"ARANDELA 3/16"" UN";TORNILLERIA;;
194;"ARANDELA 3/8"" UN";TORNILLERIA;;
197;"ARANDELA 7/16"" UN";TORNILLERIA;;
212;BALDE DE CONSTRUCCION NEGRO;CONSTRUCCION;;
239;"BISAGRA COMUN LATON 3""  INDUMA UNIDAD";HERRAJES Y SOPORTES;;
257;"BISTURI 6"" BLISTER PRETUL";HERRAMIENTA MANUAL;;
3262;BOLSA NEGRA INDUSTRIAL N 39;HOGAR Y COCINA;;
282;BOMBILLO DICROICO 110 GU10;ELECTRICOS;;
3430;BOMBILLO RECARGABLE PORTATIL 15W ASTRO;ELECTRICOS;;
284;BOQUILLA BLANCA 2K MAXI;CONSTRUCCION;;
307;BROCA ACERO HSS 17/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;;
320;BROCA ACERO HSS 9/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;;
327;BROCA HSS 1/4 MP TOOLS;ABRASIVOS Y CONSUMIBLES;;
330;BROCA HSS 3/16 MP TOOLS;ABRASIVOS Y CONSUMIBLES;;
342;"BROCA HSS ACERO RAPIDO 3/16"" TRUPER";PINTURAS Y DISOLVENTES;;
363;"BROCHA POPULAR BLANCA 1 1/2"" GOYA";PINTURAS Y DISOLVENTES;;
367;"BROCHA POPULAR BLANCA 2"" GOYA";PINTURAS Y DISOLVENTES;;
368;"BROCHA POPULAR BLANCA 3"" GOYA";PINTURAS Y DISOLVENTES;;
2417;"CALIBRADOR PIE DE REY PULGADAS Y METRICO 5"" PRETUL";HERRAMIENTA MANUAL;;
466;"CANCAMO ABIERTO 1/2"" RANGER";TORNILLERIA;;
509;CANDADO DE HIERRO 25 MM HERMEX;CERRAJERIA Y SEGURIDAD;;
589;CERRADURA ALCOBA CLARA / OBSCURA CAJA SECURITY;CERRAJERIA Y SEGURIDAD;;
607;"CHAZO EXPANSIVO 3/8X 17/8""";TORNILLERIA;;
621;CHAZO PLASTICO 1/4 UN;TORNILLERIA;;
646;"CHAZO SUPRA MARIPOSA PLASTICO 1/4"" UN";TORNILLERIA;;
661;CHUPA CON GANCHO N 6;HERRAJES Y SOPORTES;;
672;CINTA  ANTIDESLIZANTE 50 MM 50 MT TESA;PEGANTES;;
675;CINTA AMARILLA LA ORIGINAL 18 MM X 50MT 3M;PEGANTES;;
676;CINTA AMARILLA LA ORIGINAL 6 MM X 50MT 3M;PEGANTES;;
677;CINTA AUTOFUNDENTE 1MT;PEGANTES;;
691;CINTA DOBLE FAZ 1/2 2MT 3M;PEGANTES;;
692;CINTA DOBLE FAZ 3/4 2MT 3M;PEGANTES;;
695;CINTA EMPAQUE TRANSPARENTE 150 MT TRUPER;PEGANTES;;
3123;CINTA ENMASCARAR 201+12MM X 55 MT 3M;PEGANTES;;
702;CINTA ENMASCARAR 201+24MM X 50 MT 3M;PEGANTES;;
3231;CINTA ENMASCARAR 201+ 38MM X 50 MT 3M;PEGANTES;;
724;CINTA TEFLON PEQUEï¿½O;PEGANTES;;
728;CINTA AISLANTE TEMFLEX NEGRO 19 MM X 9MT 3M;PEGANTES;;
729;CINTA AISLANTE TEMFLEX NEGRO 19 MM X 18MT 3M;PEGANTES;;
736;CLAVIJA DOMESTICAV 10A CODELCA;ELECTRICOS;;
737;CLAVIJA INDUSTRIAL 15A KONTIKI;ELECTRICOS;;
762D;CLAVO ACERADO 3/4 LISO CA MEJIA DOC;TORNILLERIA;;
792;"CODO SANITARIO CXC 11/2""";TUBERIAS Y ACCESORIOS;;
3443;CUCHILLO N6 MADERA EXCALIBUR;HOGAR Y COCINA;;
864;"CURVA CONDUIT SEMIPESADA 1/2""";TUBERIAS Y ACCESORIOS;;
904;DISCO CORTE METAL 4 1/2 X 1/16 X 7/8  ABRACOL;ABRASIVOS Y CONSUMIBLES;;
916;"DISCO CORTE METAL 41/2"" X 0.045 X 7/8"" DEWALT";ABRASIVOS Y CONSUMIBLES;;
917;"DISCO CORTE METAL 7"" X 1/16"" X 7/8"" DEWALT";ABRASIVOS Y CONSUMIBLES;;
921;"DISCO CORTE METAL 14"" X 7/64"" X 7/8"" PARA TRONZADORA PRETUL";ABRASIVOS Y CONSUMIBLES;;
924;"DISCO CORTE METAL 7"" X 1/16"" X 7/8"" PREMIER";ABRASIVOS Y CONSUMIBLES;;
929;"DISCO DESBASTE METAL 41/2"" X 1/4"" X 7/8"" TRUPER";ABRASIVOS Y CONSUMIBLES;;
934;"DISCO FLAP 120 4 1/2"" AZUL PORRAS";ABRASIVOS Y CONSUMIBLES;;
935;"DISCO FLAP 120 7"" AZUL PORRAS";ABRASIVOS Y CONSUMIBLES;;
937;"DISCO FLAP 60 4 1/2"" AZUL PORRAS";ABRASIVOS Y CONSUMIBLES;;
969;DUPLICADO DE LLAVE ESTANDAR;CERRAJERIA Y SEGURIDAD;;
3326;ESCOBILLAS PEQUEï¿½AS;PARTES Y REPUESTOS;;
1051;ESMALTE EXPERTO BLANCO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
909;EXTENSION CON POLO NARANJA 8MT;ELECTRICOS;;
1144;EXTENSION 3 MTS 9ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;;
1145;EXTENSION 5 MTS 15ft DUPLEX OSBLACK/TITANIUM;ELECTRICOS;;
1187;"FLEXOMETRO AMARILLO 8MT CINTA 1"" PRETUL";HERRAMIENTA MANUAL;;
1214;GANCHO ADHESIVO JUMBO BLANCO;HERRAJES Y SOPORTES;;
1216;GANCHO ADHESIVO MEDIANO BLANCO;HERRAJES Y SOPORTES;;
1228;GRAFITO FUELLE;LUBRICANTES;;
1262;"GRATA COPA ALAMBRE ONDULADO 4""X 5/8 TRUPER";HERRAMIENTA MANUAL;;
1273;GUANTE LATEX NEGRO HGN  002 T L;DOTACION INDUSTRIAL;;
1282;GUANTE NITRILO TALLA 8;DOTACION INDUSTRIAL;;
1290;GUANTE CAUCHO TRITON CAL35 T 9;DOTACION INDUSTRIAL;;
3149;GUASA 1/2 UN;TORNILLERIA;;
3150;GUASA 1/4 UN;TORNILLERIA;;
3152;GUASA 3/8 UN;TORNILLERIA;;
1294;HERRAJE 2 PIEZAS;GRIFERIA;;
1338;INTERRUPTOR SENCILLO BLANCO MERCURY;ELECTRICOS;;
;LLAVE;HERRAMIENTA MANUAL;;
1461;"LLANA LISA MANGO PLASTICO 1 1X 5"" TRUPER";HERRAMIENTA MANUAL;;
1502;LLAVE MIXTA 13 MMX145MM PRETUL;HERRAMIENTA MANUAL;;
1536;"MACHETE TRES CANALES 20"" CORNETA";HERRAMIENTA MANUAL;;
1583;MANGUERA LAVADORA ENTADA TER PLASTICA 2.40MT;GRIFERIA;;
