Nombre;CategorÃ­a;Definicion;Caracteristicas
"ABRAZADERA 10-00 TITAN 3/8""";TORNILLERIA;;
"ABRAZADERA 10-04 TITAN 1/2""";HERRAJES Y SOPORTES;;
ACEITE MULTIUSOS 30 ML TRUPER;LUBRICANTES;;
ACEITE MULTIUSOS 90 ML TRUPER;LUBRICANTES;;
ALCOHOL INDUSTRIAL (METANOL 80%) 375ML 1/2B;PINTURAS Y DISOLVENTES;;
ALICATE NO 8 TIPO CRESCENT;HERRAMIENTA MANUAL;;
AMARRE PLASTICO NEGRO 7,6 X 400mm FORTE UN;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 15 NEGRO 2.5 U;HERRAJES Y SOPORTES;;
AMARRE PLASTICO N 25 BLANCO 3.6 U;HERRAJES Y SOPORTES;;
"ARANDELA 1/2"" UN";TORNILLERIA;;
"ARANDELA 1/4"" UN";TORNILLERIA;;
"ARANDELA 3/16"" UN";TORNILLERIA;;
"ARANDELA 3/8"" UN";TORNILLERIA;;
"ARANDELA 7/16"" UN";TORNILLERIA;;
BALDE DE CONSTRUCCION NEGRO;CONSTRUCCION;;
"BISAGRA COMUN LATON 3""  INDUMA UNIDAD";HERRAJES Y SOPORTES;;
"BISTURI 6"" BLISTER PRETUL";HERRAMIENTA MANUAL;;
BOLSA NEGRA INDUSTRIAL N 39;HOGAR Y COCINA;;
BOMBILLO DICROICO 110 GU10;ELECTRICOS;;
BOMBILLO RECARGABLE PORTATIL 15W ASTRO;ELECTRICOS;;
BOQUILLA BLANCA 2K MAXI;CONSTRUCCION;;
BROCA ACERO HSS 17/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;;
BROCA ACERO HSS 9/64 INCOLMA;ABRASIVOS Y CONSUMIBLES;;
BROCA HSS 1/4 MP TOOLS;ABRASIVOS Y CONSUMIBLES;;
BROCA HSS 3/16 MP TOOLS;ABRASIVOS Y CONSUMIBLES;;
"BROCA HSS ACERO RAPIDO 3/16"" TRUPER";PINTURAS Y DISOLVENTES;;
"BROCHA POPULAR BLANCA 1 1/2"" GOYA";PINTURAS Y DISOLVENTES;;
"BROCHA POPULAR BLANCA 2"" GOYA";PINTURAS Y DISOLVENTES;;
"BROCHA POPULAR BLANCA 3"" GOYA";PINTURAS Y DISOLVENTES;;
"CALIBRADOR PIE DE REY PULGADAS Y METRICO 5"" PRETUL";HERRAMIENTA MANUAL;;
"CANCAMO ABIERTO 1/2"" RANGER";TORNILLERIA;;
CANDADO DE HIERRO 25 MM HERMEX;CERRAJERIA Y SEGURIDAD;;
CERRADURA ALCOBA CLARA / OBSCURA CAJA SECURITY;CERRAJERIA Y SEGURIDAD;;
"CHAZO EXPANSIVO 3/8X 17/8""";TORNILLERIA;;
CHAZO PLASTICO 1/4 UN;TORNILLERIA;;
"CHAZO SUPRA MARIPOSA PLASTICO 1/4"" UN";TORNILLERIA;;
CHUPA CON GANCHO N 6;HERRAJES Y SOPORTES;;
